,0
0,1
1,5
2,7
3,10
4,4
5,8
6,3
7,6
8,1
9,10
10,4
11,7
12,4
13,7
14,8
15,10
16,5
17,2
18,3
19,3
20,6
21,2
22,7
23,10
24,9
25,4
26,5
27,0
28,8
29,2
30,7
31,3
32,8
33,5
34,5
35,8
36,8
37,0
38,3
39,7
40,2
41,3
42,1
43,8
44,8
45,4
46,3
47,3
48,1
49,9
50,6
51,1
52,0
53,8
54,2
55,2
56,8
57,3
58,7
59,4
60,5
61,4
62,6
63,3
64,6
65,2
66,6
67,3
68,3
69,8
70,8
71,8
72,2
73,0
74,1
75,2
76,7
77,3
78,7
79,3
80,5
81,5
82,10
83,2
84,2
85,6
86,8
87,10
88,7
89,9
90,3
91,2
92,4
93,6
94,0
95,3
96,10
97,5
98,2
99,0
